Airport;Cod_Airport;Desc_Airport;Loc
ATL - Hartsfield-Jackson Atlanta International Airport - Georgia;ATL;Hartsfield-Jackson Atlanta International Airport;Georgia
AUS - Austin-Bergstrom International Airport - Texas;AUS;Austin-Bergstrom International Airport;Texas
BNA - Nashville International Airport - Tennessee;BNA;Nashville International Airport;Tennessee
BOS - Boston Logan International Airport - Massachusetts;BOS;Boston Logan International Airport;Massachusetts
BWI - Baltimore-Washington International Thurgood Marshall Airport - Washington;BWI;Baltimore-Washington International Thurgood Marshall Airport;Washington
CLT - Charlotte Douglas International Airport - North Carolina;CLT;Charlotte Douglas International Airport;North Carolina
DAL - Dallas Love Field - Texas;DAL;Dallas Love Field;Texas
DCA - Ronald Reagan Washington National Airport - Arlington, Virginia;DCA;Ronald Reagan Washington National Airport;Arlington, Virginia
DEN - Denver International Airport - Colorado;DEN;Denver International Airport;Colorado
DFW - Dallas/Fort Worth International Airport - Texas;DFW;Dallas/Fort Worth International Airport;Texas
DTW - Detroit Metropolitan Airport - Michigan;DTW;Detroit Metropolitan Airport;Michigan
EWR - Newark Liberty International Airport - New Jersey;EWR;Newark Liberty International Airport;New Jersey
FLL - Fort Lauderdale–Hollywood International Airport - Florida;FLL;Fort Lauderdale–Hollywood International Airport;Florida
HNL - Daniel K. Inouye International Airport - Honolulu, Hawaii;HNL;Daniel K. Inouye International Airport;Honolulu, Hawaii
HOU - William P. Hobby Airport - Houston, Texas;HOU;William P. Hobby Airport;Houston, Texas
IAD - Dulles International Airport - Virginia;IAD;Dulles International Airport;Virginia
IAH - George Bush Intercontinental Airport - Houston, Texas;IAH;George Bush Intercontinental Airport;Houston, Texas
JFK - John F. Kennedy International Airport - Queens, New York;JFK;John F. Kennedy International Airport;Queens, New York
LAS - McCarran International Airport - Las Vegas, Nevada;LAS;McCarran International Airport;Las Vegas, Nevada
LAX - Los Angeles International Airport - California;LAX;Los Angeles International Airport;California
LGA - LaGuardia Airport - Queens, New York;LGA;LaGuardia Airport;Queens, New York
MCO - Orlando International Airport - Florida;MCO;Orlando International Airport;Florida
MDW - Chicago Midway International Airport - Illinois;MDW;Chicago Midway International Airport;Illinois
MIA - Miami International Airport - Florida;MIA;Miami International Airport;Florida
MSP - Minneapolis–Saint Paul International Airport - Minnesota;MSP;Minneapolis–Saint Paul International Airport;Minnesota
MSY - Louis Armstrong New Orleans International Airport - Louisiana;MSY;Louis Armstrong New Orleans International Airport;Louisiana
OAK - Oakland International Airport - California;OAK;Oakland International Airport;California
ORD - O'Hare International Airport - Chicago, Illinois;ORD;O'Hare International Airport;Chicago, Illinois
PDX - Portland International Airport - Oregon;PDX;Portland International Airport;Oregon
PHL - Philadelphia International Airport - Pennsylvania;PHL;Philadelphia International Airport;Pennsylvania
PHX - Phoenix Sky Harbor International Airport - Arizona;PHX;Phoenix Sky Harbor International Airport;Arizona
RDU - Raleigh-Durham International Airport - North Carolina;RDU;Raleigh-Durham International Airport;North Carolina
SAN - San Diego International Airport - California;SAN;San Diego International Airport;California
SEA - Seattle–Tacoma International Airport - Washington;SEA;Seattle–Tacoma International Airport;Washington
SFO - San Francisco International Airport - California;SFO;San Francisco International Airport;California
SJC - Norman Y. Mineta San Jose International Airport - California;SJC;Norman Y. Mineta San Jose International Airport;California
SLC - Salt Lake City International Airport - Utah;SLC;Salt Lake City International Airport;Utah
SMF - Sacramento International Airport - California;SMF;Sacramento International Airport;California
STL - St. Louis Lambert International Airport - Missouri;STL;St. Louis Lambert International Airport;Missouri
TPA - Tampa International Airport - Florida;TPA;Tampa International Airport;Florida
